celltype_raw,celltype_id,sample,study,n_counts,n_genes,celltype_name,doublet_score,pred_dbl,Disease,query_group,query,method,rank,score,item_id
Myofibroblast,CL:0000186,DS000011735-GSM4058965,DS000011735,3639.88525390625,3582,myofibroblast cell,0.02272382378578186,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,1,0.9930484294891357,cell-45761
Myofibroblast,CL:0000186,DS000011735-GSM4058966,DS000011735,3317.873291015625,2465,myofibroblast cell,0.012435315176844597,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,2,0.9925165176391602,cell-36812
Myofibroblast,CL:0000186,DS000011735-GSM4058959,DS000011735,3136.9453125,2178,myofibroblast cell,0.02688712067902088,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,3,0.9915440082550049,cell-8143
Myofibroblast,CL:0000186,DS000011735-GSM4058959,DS000011735,3365.392822265625,2565,myofibroblast cell,0.13452260196208954,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,4,0.990559458732605,cell-38247
Myofibroblast,CL:0000186,DS000011735-GSM4058967,DS000011735,3816.3984375,3439,myofibroblast cell,0.02442614734172821,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,5,0.9904184341430664,cell-39922
Myofibroblast,CL:0000186,DS000011735-GSM4058951,DS000011735,2823.35107421875,1616,myofibroblast cell,0.04003108665347099,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,6,0.9903656244277954,cell-25642
Myofibroblast,CL:0000186,DS000011735-GSM4058966,DS000011735,3414.177978515625,2720,myofibroblast cell,0.027145087718963623,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,7,0.9902702569961548,cell-40466
Myofibroblast,CL:0000186,DS000011735-GSM4058958,DS000011735,2520.435302734375,1241,myofibroblast cell,0.07648591697216034,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,8,0.9902615547180176,cell-49321
Myofibroblast,CL:0000186,DS000011735-GSM4058970,DS000011735,2789.89599609375,1619,myofibroblast cell,0.04801020398736,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,9,0.9902443885803223,cell-35204
Myofibroblast,CL:0000186,DS000011735-GSM4058970,DS000011735,2736.68212890625,1505,myofibroblast cell,0.02042905054986477,False,IPF,IPF::myofibroblast cell,IPF myofibroblast centroid,exact,10,0.9901535511016846,cell-34471
