query,method,rank,celltype_name,Disease,sample,score,item_id
IPF myofibroblast centroid,exact,1,myofibroblast cell,IPF,DS000011735-GSM4058965,0.9930484294891356,cell-45761
IPF myofibroblast centroid,exact,2,myofibroblast cell,IPF,DS000011735-GSM4058966,0.9925165176391602,cell-36812
IPF myofibroblast centroid,exact,3,myofibroblast cell,IPF,DS000011735-GSM4058959,0.9915440082550048,cell-8143
IPF myofibroblast centroid,exact,4,myofibroblast cell,IPF,DS000011735-GSM4058959,0.990559458732605,cell-38247
IPF myofibroblast centroid,exact,5,myofibroblast cell,IPF,DS000011735-GSM4058967,0.9904184341430664,cell-39922
IPF myofibroblast centroid,exact,6,myofibroblast cell,IPF,DS000011735-GSM4058951,0.9903656244277954,cell-25642
IPF myofibroblast centroid,exact,7,myofibroblast cell,IPF,DS000011735-GSM4058966,0.9902702569961548,cell-40466
IPF myofibroblast centroid,exact,8,myofibroblast cell,IPF,DS000011735-GSM4058958,0.9902615547180176,cell-49321
IPF myofibroblast centroid,exact,9,myofibroblast cell,IPF,DS000011735-GSM4058970,0.9902443885803224,cell-35204
IPF myofibroblast centroid,exact,10,myofibroblast cell,IPF,DS000011735-GSM4058970,0.9901535511016846,cell-34471
IPF myofibroblast centroid,turboquant-prod-b3,1,myofibroblast cell,IPF,DS000011735-GSM4058965,0.9930484294891356,cell-45761
IPF myofibroblast centroid,turboquant-prod-b3,2,myofibroblast cell,IPF,DS000011735-GSM4058966,0.9925165176391602,cell-36812
IPF myofibroblast centroid,turboquant-prod-b3,3,myofibroblast cell,IPF,DS000011735-GSM4058959,0.9915440082550048,cell-8143
IPF myofibroblast centroid,turboquant-prod-b3,4,myofibroblast cell,IPF,DS000011735-GSM4058959,0.990559458732605,cell-38247
IPF myofibroblast centroid,turboquant-prod-b3,5,myofibroblast cell,IPF,DS000011735-GSM4058967,0.9904184341430664,cell-39922
IPF myofibroblast centroid,turboquant-prod-b3,6,myofibroblast cell,IPF,DS000011735-GSM4058951,0.9903656244277954,cell-25642
IPF myofibroblast centroid,turboquant-prod-b3,7,myofibroblast cell,IPF,DS000011735-GSM4058966,0.9902702569961548,cell-40466
IPF myofibroblast centroid,turboquant-prod-b3,8,myofibroblast cell,IPF,DS000011735-GSM4058958,0.9902615547180176,cell-49321
IPF myofibroblast centroid,turboquant-prod-b3,9,myofibroblast cell,IPF,DS000011735-GSM4058970,0.9902443885803224,cell-35204
IPF myofibroblast centroid,turboquant-prod-b3,10,myofibroblast cell,IPF,DS000011735-GSM4058970,0.9901535511016846,cell-34471
